USGS_site,datetime,q,no3_mg_per_l,no3_gse,total_p_mg_per_l,total_p_gse,ssc_mg_per_l,ssc_gse
03339000,2015-10-01,516.00,2.92,1.40,0.23,1.82,57.66,2.77
03339000,2015-10-02,424.00,2.82,1.39,0.22,1.81,50.99,2.83
03339000,2015-10-03,393.00,2.76,1.40,0.22,1.81,43.70,2.82
03339000,2015-10-04,377.00,2.74,1.39,0.22,1.84,42.87,2.84
03339000,2015-10-05,371.00,2.71,1.38,0.21,1.81,40.63,2.82
03339000,2015-10-06,382.00,2.73,1.39,0.21,1.82,44.23,2.84
03339000,2015-10-07,370.00,2.69,1.39,0.21,1.79,40.99,2.83
03339000,2015-10-08,363.00,2.71,1.39,0.21,1.82,39.67,2.77
03339000,2015-10-09,262.00,2.50,1.39,0.20,1.82,29.86,2.83
03339000,2015-10-10,336.00,2.66,1.39,0.21,1.84,36.32,2.82
03339000,2015-10-11,305.00,2.61,1.39,0.21,1.82,31.21,2.78
03339000,2015-10-12,281.00,2.55,1.38,0.20,1.81,30.45,2.80
03339000,2015-10-13,276.00,2.55,1.40,0.20,1.81,28.37,2.79
03339000,2015-10-14,272.00,2.53,1.39,0.21,1.84,28.73,2.83
03339000,2015-10-15,263.00,2.51,1.39,0.20,1.80,28.14,2.92
03339000,2015-10-16,250.00,2.49,1.39,0.20,1.79,26.54,2.82
03339000,2015-10-17,238.00,2.47,1.39,0.20,1.80,24.74,2.91
03339000,2015-10-18,229.00,2.44,1.38,0.19,1.82,23.03,2.78
03339000,2015-10-19,206.00,2.39,1.40,0.19,1.81,21.74,2.88
03339000,2015-10-20,172.00,2.34,1.39,0.18,1.80,18.44,2.83
03339000,2015-10-21,161.00,2.27,1.40,0.18,1.82,17.61,2.93
03339000,2015-10-22,164.00,2.30,1.40,0.18,1.81,15.72,2.81
03339000,2015-10-23,210.00,2.42,1.39,0.19,1.82,20.99,2.82
03339000,2015-10-24,207.00,2.41,1.39,0.19,1.81,20.24,2.83
03339000,2015-10-25,181.00,2.34,1.40,0.18,1.81,18.07,2.83
03339000,2015-10-26,179.00,2.31,1.38,0.19,1.81,17.25,2.88
03339000,2015-10-27,203.00,2.42,1.39,0.19,1.81,19.18,2.81
03339000,2015-10-28,419.00,2.82,1.39,0.22,1.83,34.36,2.80
03339000,2015-10-29,574.00,3.00,1.39,0.24,1.82,46.86,2.85
03339000,2015-10-30,463.00,2.89,1.38,0.23,1.80,37.68,2.85
03339000,2015-10-31,371.00,2.77,1.39,0.22,1.80,29.99,2.83
03339000,2015-11-01,339.00,2.73,1.40,0.22,1.83,27.43,2.79
03339000,2015-11-02,339.00,2.72,1.38,0.21,1.81,27.13,2.84
03339000,2015-11-03,352.00,2.77,1.39,0.22,1.82,28.27,2.78
03339000,2015-11-04,343.00,2.75,1.39,0.21,1.81,26.92,2.84
03339000,2015-11-05,307.00,3.09,1.00,0.25,1.00,47.00,1.00
